Experiment	Sample	Study	GSM	Scientific name	Taxon id	Strategy	Source	Platform	Selection	Experiment title	Sample title	Design description	Sample attribute_BioSampleModel	Sample attribute_dev_stage	Sample attribute_scientific_name	Sample attribute_cell type	Sample attribute_treatment	Sample attribute_sub_species	Sample attribute_ENA-FIRST-PUBLIC	Sample attribute_passages	Sample attribute_ENA first public	Sample attribute_ENA-LAST-UPDATE	Sample attribute_disease	Sample attribute_ecotype	Sample attribute_cell_line	Sample attribute_External Id	Sample attribute_Submitter Id	Sample attribute_strain	Sample attribute_transcription factor	Sample attribute_INSDC first public	Sample attribute_INSDC status	Sample attribute_cell line	Sample attribute_sex	Sample attribute_antibody	Sample attribute_broker name	Sample attribute_phenotype	Sample attribute_breed	Sample attribute_source_name	Sample attribute_isolate	Sample attribute_INSDC last update	Sample attribute_age	Sample attribute_Sex	Sample attribute_biomaterial_provider	Sample attribute_individual	Sample attribute_chip antibody	Sample attribute_sample name	Sample attribute_INSDC center alias	Sample attribute_chip antibody details	Sample attribute_collection_date	Sample attribute_common name	Sample attribute_genotype	Sample attribute_developmental stage	Sample attribute_tissue	Sample attribute_replicate	Sample attribute_organism part	Sample attribute_geo_loc_name	Sample attribute_tumor grading	Sample attribute_INSDC center name	Sample attribute_cultivar	Sample attribute_ENA last update	Experiment attribute_Experimental Factor: Stationary	Experiment attribute_Experimental Factor: organism part	Experiment attribute_Experimental Factor: CTVT5	Experiment attribute_Experimental Factor: Regressive	Experiment attribute_Experimental Factor: immunoprecipitate	Experiment attribute_Experimental Factor: Progressive	Experiment attribute_Experimental Factor: CTVT6	Experiment attribute_Experimental Factor: CTVT17	Experiment attribute_Experimental Factor: organism	File information_Alternatives_1_@org	File information_@cluster	File information_@filename	File information_Alternatives_1_@url	File information_Alternatives_@access_type	File information_Alternatives_0_@access_type	File information_Alternatives_1_@free_egress	File information_Alternatives_@free_egress	File information_Alternatives_@org	File information_@version	File information_Alternatives_0_@free_egress	File information_@supertype	File information_@sratoolkit	File information_@size	File information_@semantic_name	File information_@date	File information_Alternatives_0_@org	File information_Alternatives_2_@free_egress	File information_Alternatives_1_@access_type	File information_Alternatives_2_@url	File information_@md5	File information_Alternatives_2_@org	File information_Alternatives_0_@url	File information_Alternatives_2_@access_type	File information_Alternatives_@url	File information_@url	Query
SRX20377950	SRS17690276	SRP438055	GSM7360750	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360750: 12554_ID_Cfa6.66_noins_BioRep2; Canis lupus familiaris; ChIP-Seq	12554_ID_Cfa6.66_noins_BioRep2					Brainstem		familiaris																				Brainstem							input				missing		noins					missing														AWS	public	SRR24594580.lite	s3://sra-pub-zq-7/SRR24594580/SRR24594580.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	3071645264	SRA Lite	2023-05-22 04:02:06	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594580/SRR24594580.lite.1	41ecda4dcf214efff77e0253f4ef3553	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594580/SRR24594580.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594580/SRR24594580	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594580/SRR24594580.lite.1	
SRX20377949	SRS17690288	SRP438055	GSM7360749	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360749: 12552_ID_Cfa6.66_noins_BioRep1; Canis lupus familiaris; ChIP-Seq	12552_ID_Cfa6.66_noins_BioRep1					Brainstem		familiaris																				Brainstem							input				missing		noins					missing														AWS	public	SRR24594581.lite	s3://sra-pub-zq-7/SRR24594581/SRR24594581.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	2615502997	SRA Lite	2023-05-22 17:04:56	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594581/SRR24594581.lite.1	94004b088f646e8186d9a5defbab6e73	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594581/SRR24594581.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594581/SRR24594581	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594581/SRR24594581.lite.1	
SRX20377948	SRS17690291	SRP438055	GSM7360748	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360748: 12527_ID_Cfa6.66_ins_BioRep2; Canis lupus familiaris; ChIP-Seq	12527_ID_Cfa6.66_ins_BioRep2					Brainstem		familiaris																				Brainstem							input				missing		ins					missing														AWS	public	SRR24594582.lite	s3://sra-pub-zq-7/SRR24594582/SRR24594582.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	2675550161	SRA Lite	2023-05-22 04:01:09	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594582/SRR24594582.lite.1	da60d7acea308521511379ca8a3e98e5	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594582/SRR24594582.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594582/SRR24594582	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594582/SRR24594582.lite.1	
SRX20377947	SRS17690290	SRP438055	GSM7360747	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360747: 12517_ID_Cfa6.66_ins_BioRep1; Canis lupus familiaris; ChIP-Seq	12517_ID_Cfa6.66_ins_BioRep1					Brainstem		familiaris																				Brainstem							input				missing		ins					missing														AWS	public	SRR24594583.lite	s3://sra-pub-zq-7/SRR24594583/SRR24594583.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	3100763482	SRA Lite	2023-05-22 03:59:44	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594583/SRR24594583.lite.1	f1ea4a7aa24d7bb1f389f80dfd0f3b19	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594583/SRR24594583.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594583/SRR24594583	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594583/SRR24594583.lite.1	
SRX20377946	SRS17690292	SRP438055	GSM7360746	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360746: 12568_H3K27ac_Cfa6.66_ins_BioRep3; Canis lupus familiaris; ChIP-Seq	12568_H3K27ac_Cfa6.66_ins_BioRep3					Brainstem		familiaris																				Brainstem							H3K27ac (Active Motif; cat# 39034; concentration 1ug/ul)				missing		ins					missing														AWS	public	SRR24594584.lite	s3://sra-pub-zq-7/SRR24594584/SRR24594584.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	3720290737	SRA Lite	2023-05-22 03:59:51	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594584/SRR24594584.lite.1	ef75a1846e124ace73da7ec181bc1ea5	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594584/SRR24594584.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594584/SRR24594584	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594584/SRR24594584.lite.1	
SRX20377945	SRS17690285	SRP438055	GSM7360745	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360745: 12558_H3K27ac_Cfa6.66_noins_BioRep3; Canis lupus familiaris; ChIP-Seq	12558_H3K27ac_Cfa6.66_noins_BioRep3					Brainstem		familiaris																				Brainstem							H3K27ac (Active Motif; cat# 39034; concentration 1ug/ul)				missing		noins					missing														AWS	public	SRR24594585.lite	s3://sra-pub-zq-7/SRR24594585/SRR24594585.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	3116843616	SRA Lite	2023-05-22 03:59:44	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594585/SRR24594585.lite.1	68e092d102235b79a5fb1c93e36cb3ea	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594585/SRR24594585.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594585/SRR24594585	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594585/SRR24594585.lite.1	
SRX20377944	SRS17690289	SRP438055	GSM7360744	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360744: 12554_H3K27ac_Cfa6.66_noins_BioRep2; Canis lupus familiaris; ChIP-Seq	12554_H3K27ac_Cfa6.66_noins_BioRep2					Brainstem		familiaris																				Brainstem							H3K27ac (Active Motif; cat# 39034; concentration 1ug/ul)				missing		noins					missing														AWS	public	SRR24594586.lite	s3://sra-pub-zq-7/SRR24594586/SRR24594586.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	3472064502	SRA Lite	2023-05-22 04:05:27	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594586/SRR24594586.lite.1	f8eeab4a2f826d88c2a75a2bd07393c0	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594586/SRR24594586.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594586/SRR24594586	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594586/SRR24594586.lite.1	
SRX20377943	SRS17690275	SRP438055	GSM7360743	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360743: 12552_H3K27ac_Cfa6.66_noins_BioRep1; Canis lupus familiaris; ChIP-Seq	12552_H3K27ac_Cfa6.66_noins_BioRep1					Brainstem		familiaris																				Brainstem							H3K27ac (Active Motif; cat# 39034; concentration 1ug/ul)				missing		noins					missing														AWS	public	12552_Hac_R1.fastq	s3://sra-pub-zq-7/SRR24594587/SRR24594587.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	9861940513	fastq	2023-05-17 02:23:50	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594587/SRR24594587.lite.1	ee01bb84d0c8d55e869192fdaf2cf230	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594587/SRR24594587.lite.1	gcp identity	s3://sra-pub-src-8/SRR24594587/12552_Hac_R1.fastq.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594587/SRR24594587	
SRX20377942	SRS17690274	SRP438055	GSM7360742	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360742: 12527_H3K27ac_Cfa6.66_ins_BioRep2; Canis lupus familiaris; ChIP-Seq	12527_H3K27ac_Cfa6.66_ins_BioRep2					Brainstem		familiaris																				Brainstem							H3K27ac (Active Motif; cat# 39034; concentration 1ug/ul)				missing		ins					missing														AWS	public	SRR24594588.lite	s3://sra-pub-zq-7/SRR24594588/SRR24594588.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	3123609717	SRA Lite	2023-05-22 03:59:56	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594588/SRR24594588.lite.1	1e4dd5db1c4f298d9f9bd2ee08cf6a61	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594588/SRR24594588.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594588/SRR24594588	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594588/SRR24594588.lite.1	
SRX20377941	SRS17690273	SRP438055	GSM7360741	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM7360741: 12517_H3K27ac_Cfa6.66_ins_BioRep1; Canis lupus familiaris; ChIP-Seq	12517_H3K27ac_Cfa6.66_ins_BioRep1					Brainstem		familiaris																				Brainstem							H3K27ac (Active Motif; cat# 39034; concentration 1ug/ul)				missing		ins					missing														AWS	public	SRR24594589.lite	s3://sra-pub-zq-7/SRR24594589/SRR24594589.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	3337739651	SRA Lite	2023-05-22 03:59:54	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-100/SRR24594589/SRR24594589.lite.1	68a5edc53d5d1c570e4a9e2b129019ec	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594589/SRR24594589.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24594589/SRR24594589	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR024/24594/SRR24594589/SRR24594589.lite.1	
